wfName,taskName,nodeName,rank
nfcore/chipseq:1.2.2,BWA_INDEX,m5.large,7
nfcore/chipseq:1.2.2,BWA_INDEX,m5.xlarge,19
nfcore/chipseq:1.2.2,BWA_INDEX,m5.2xlarge,27
nfcore/chipseq:1.2.2,BWA_INDEX,m5a.large,14
nfcore/chipseq:1.2.2,BWA_INDEX,m5a.xlarge,22
nfcore/chipseq:1.2.2,BWA_INDEX,m5a.2xlarge,21
nfcore/chipseq:1.2.2,BWA_INDEX,m5zn.large,13
nfcore/chipseq:1.2.2,BWA_INDEX,m5zn.xlarge,12
nfcore/chipseq:1.2.2,BWA_INDEX,m5zn.2xlarge,10
nfcore/chipseq:1.2.2,BWA_INDEX,c5.xlarge,11
nfcore/chipseq:1.2.2,BWA_INDEX,c5.2xlarge,5
nfcore/chipseq:1.2.2,BWA_INDEX,c5a.xlarge,8
nfcore/chipseq:1.2.2,BWA_INDEX,c5a.2xlarge,9
nfcore/chipseq:1.2.2,BWA_INDEX,r5.large,18
nfcore/chipseq:1.2.2,BWA_INDEX,r5.xlarge,2
nfcore/chipseq:1.2.2,BWA_INDEX,r5.2xlarge,17
nfcore/chipseq:1.2.2,BWA_INDEX,r5a.large,24
nfcore/chipseq:1.2.2,BWA_INDEX,r5a.xlarge,1
nfcore/chipseq:1.2.2,BWA_INDEX,r5a.2xlarge,23
nfcore/chipseq:1.2.2,BWA_INDEX,d3.xlarge,4
nfcore/chipseq:1.2.2,BWA_INDEX,d3.2xlarge,3
nfcore/chipseq:1.2.2,BWA_INDEX,i3.large,20
nfcore/chipseq:1.2.2,BWA_INDEX,i3.xlarge,25
nfcore/chipseq:1.2.2,BWA_INDEX,i3.2xlarge,26
nfcore/chipseq:1.2.2,BWA_INDEX,z1d.large,15
nfcore/chipseq:1.2.2,BWA_INDEX,z1d.xlarge,6
nfcore/chipseq:1.2.2,BWA_INDEX,z1d.2xlarge,16
nfcore/chipseq:1.2.2,BWA_MEM,m5.large,7
nfcore/chipseq:1.2.2,BWA_MEM,m5.xlarge,19
nfcore/chipseq:1.2.2,BWA_MEM,m5.2xlarge,27
nfcore/chipseq:1.2.2,BWA_MEM,m5a.large,16
nfcore/chipseq:1.2.2,BWA_MEM,m5a.xlarge,23
nfcore/chipseq:1.2.2,BWA_MEM,m5a.2xlarge,22
nfcore/chipseq:1.2.2,BWA_MEM,m5zn.large,13
nfcore/chipseq:1.2.2,BWA_MEM,m5zn.xlarge,12
nfcore/chipseq:1.2.2,BWA_MEM,m5zn.2xlarge,8
nfcore/chipseq:1.2.2,BWA_MEM,c5.xlarge,9
nfcore/chipseq:1.2.2,BWA_MEM,c5.2xlarge,4
nfcore/chipseq:1.2.2,BWA_MEM,c5a.xlarge,10
nfcore/chipseq:1.2.2,BWA_MEM,c5a.2xlarge,11
nfcore/chipseq:1.2.2,BWA_MEM,r5.large,18
nfcore/chipseq:1.2.2,BWA_MEM,r5.xlarge,2
nfcore/chipseq:1.2.2,BWA_MEM,r5.2xlarge,14
nfcore/chipseq:1.2.2,BWA_MEM,r5a.large,24
nfcore/chipseq:1.2.2,BWA_MEM,r5a.xlarge,1
nfcore/chipseq:1.2.2,BWA_MEM,r5a.2xlarge,21
nfcore/chipseq:1.2.2,BWA_MEM,d3.xlarge,5
nfcore/chipseq:1.2.2,BWA_MEM,d3.2xlarge,3
nfcore/chipseq:1.2.2,BWA_MEM,i3.large,20
nfcore/chipseq:1.2.2,BWA_MEM,i3.xlarge,25
