wfName,nodeName,taskName,realtime
nfcore/sarek:2.7.1,c5.2xlarge,ApplyBQSR,3135.233333333333
nfcore/sarek:2.7.1,c5a.xlarge,ApplyBQSR,3184.9
nfcore/sarek:2.7.1,c5a.2xlarge,ApplyBQSR,3262.1833333333334
nfcore/sarek:2.7.1,m5zn.large,ApplyBQSR,3356.6666666666665
nfcore/sarek:2.7.1,m5zn.2xlarge,ApplyBQSR,3417.4166666666665
nfcore/sarek:2.7.1,c5.xlarge,ApplyBQSR,3444.4166666666665
nfcore/sarek:2.7.1,m5zn.xlarge,ApplyBQSR,3456.116666666667
nfcore/sarek:2.7.1,z1d.2xlarge,ApplyBQSR,3772.75
nfcore/sarek:2.7.1,z1d.xlarge,ApplyBQSR,3818.0
nfcore/sarek:2.7.1,z1d.large,ApplyBQSR,3831.8333333333335
nfcore/sarek:2.7.1,d3.xlarge,ApplyBQSR,4541.066666666667
nfcore/sarek:2.7.1,d3.2xlarge,ApplyBQSR,4643.766666666666
nfcore/sarek:2.7.1,m5.large,ApplyBQSR,4695.333333333333
nfcore/sarek:2.7.1,r5.2xlarge,ApplyBQSR,4703.0
nfcore/sarek:2.7.1,m5.2xlarge,ApplyBQSR,4733.966666666666
nfcore/sarek:2.7.1,m5.xlarge,ApplyBQSR,4748.133333333333
nfcore/sarek:2.7.1,r5.xlarge,ApplyBQSR,4755.833333333333
nfcore/sarek:2.7.1,r5.large,ApplyBQSR,4789.466666666666
nfcore/sarek:2.7.1,m5a.large,ApplyBQSR,5832.85
nfcore/sarek:2.7.1,r5a.large,ApplyBQSR,5898.883333333333
nfcore/sarek:2.7.1,m5a.xlarge,ApplyBQSR,6060.683333333333
nfcore/sarek:2.7.1,r5a.xlarge,ApplyBQSR,6128.083333333333
nfcore/sarek:2.7.1,m5a.2xlarge,ApplyBQSR,6314.666666666667
nfcore/sarek:2.7.1,i3.2xlarge,ApplyBQSR,6510.266666666666
nfcore/sarek:2.7.1,r5a.2xlarge,ApplyBQSR,6596.866666666667
nfcore/sarek:2.7.1,i3.large,ApplyBQSR,6602.65
nfcore/sarek:2.7.1,i3.xlarge,ApplyBQSR,6785.133333333333
nfcore/sarek:2.7.1,m5zn.2xlarge,BamQC,2165.769230769231
nfcore/sarek:2.7.1,c5.2xlarge,BamQC,2167.7846153846153
nfcore/sarek:2.7.1,m5zn.large,BamQC,2248.4461538461537
