wfName,nodeName,taskName,realtime
nfcore/viralrecon:2.1,c5a.xlarge,NFCORE_VIRALRECON:ILLUMINA:ALIGN_BOWTIE2:BOWTIE2_ALIGN,32933.333333333336
nfcore/viralrecon:2.1,c5.2xlarge,NFCORE_VIRALRECON:ILLUMINA:ALIGN_BOWTIE2:BOWTIE2_ALIGN,33333.333333333336
nfcore/viralrecon:2.1,c5a.2xlarge,NFCORE_VIRALRECON:ILLUMINA:ALIGN_BOWTIE2:BOWTIE2_ALIGN,33800.0
nfcore/viralrecon:2.1,m5zn.2xlarge,NFCORE_VIRALRECON:ILLUMINA:ALIGN_BOWTIE2:BOWTIE2_ALIGN,36600.0
nfcore/viralrecon:2.1,m5zn.large,NFCORE_VIRALRECON:ILLUMINA:ALIGN_BOWTIE2:BOWTIE2_ALIGN,37066.666666666664
nfcore/viralrecon:2.1,c5.xlarge,NFCORE_VIRALRECON:ILLUMINA:ALIGN_BOWTIE2:BOWTIE2_ALIGN,37333.333333333336
nfcore/viralrecon:2.1,m5zn.xlarge,NFCORE_VIRALRECON:ILLUMINA:ALIGN_BOWTIE2:BOWTIE2_ALIGN,38266.666666666664
nfcore/viralrecon:2.1,z1d.2xlarge,NFCORE_VIRALRECON:ILLUMINA:ALIGN_BOWTIE2:BOWTIE2_ALIGN,40866.666666666664
nfcore/viralrecon:2.1,z1d.xlarge,NFCORE_VIRALRECON:ILLUMINA:ALIGN_BOWTIE2:BOWTIE2_ALIGN,41933.333333333336
nfcore/viralrecon:2.1,z1d.large,NFCORE_VIRALRECON:ILLUMINA:ALIGN_BOWTIE2:BOWTIE2_ALIGN,42400.0
nfcore/viralrecon:2.1,d3.xlarge,NFCORE_VIRALRECON:ILLUMINA:ALIGN_BOWTIE2:BOWTIE2_ALIGN,49600.0
nfcore/viralrecon:2.1,d3.2xlarge,NFCORE_VIRALRECON:ILLUMINA:ALIGN_BOWTIE2:BOWTIE2_ALIGN,50200.0
nfcore/viralrecon:2.1,m5.2xlarge,NFCORE_VIRALRECON:ILLUMINA:ALIGN_BOWTIE2:BOWTIE2_ALIGN,51200.0
nfcore/viralrecon:2.1,r5.2xlarge,NFCORE_VIRALRECON:ILLUMINA:ALIGN_BOWTIE2:BOWTIE2_ALIGN,51666.666666666664
nfcore/viralrecon:2.1,m5.xlarge,NFCORE_VIRALRECON:ILLUMINA:ALIGN_BOWTIE2:BOWTIE2_ALIGN,52133.333333333336
nfcore/viralrecon:2.1,r5.xlarge,NFCORE_VIRALRECON:ILLUMINA:ALIGN_BOWTIE2:BOWTIE2_ALIGN,52400.0
nfcore/viralrecon:2.1,m5.large,NFCORE_VIRALRECON:ILLUMINA:ALIGN_BOWTIE2:BOWTIE2_ALIGN,53200.0
nfcore/viralrecon:2.1,r5.large,NFCORE_VIRALRECON:ILLUMINA:ALIGN_BOWTIE2:BOWTIE2_ALIGN,54000.0
nfcore/viralrecon:2.1,i3.2xlarge,NFCORE_VIRALRECON:ILLUMINA:ALIGN_BOWTIE2:BOWTIE2_ALIGN,60466.666666666664
nfcore/viralrecon:2.1,m5a.large,NFCORE_VIRALRECON:ILLUMINA:ALIGN_BOWTIE2:BOWTIE2_ALIGN,60666.666666666664
nfcore/viralrecon:2.1,r5a.large,NFCORE_VIRALRECON:ILLUMINA:ALIGN_BOWTIE2:BOWTIE2_ALIGN,60800.0
nfcore/viralrecon:2.1,m5a.xlarge,NFCORE_VIRALRECON:ILLUMINA:ALIGN_BOWTIE2:BOWTIE2_ALIGN,61800.0
nfcore/viralrecon:2.1,r5a.xlarge,NFCORE_VIRALRECON:ILLUMINA:ALIGN_BOWTIE2:BOWTIE2_ALIGN,62400.0
nfcore/viralrecon:2.1,i3.large,NFCORE_VIRALRECON:ILLUMINA:ALIGN_BOWTIE2:BOWTIE2_ALIGN,62466.666666666664
nfcore/viralrecon:2.1,m5a.2xlarge,NFCORE_VIRALRECON:ILLUMINA:ALIGN_BOWTIE2:BOWTIE2_ALIGN,63466.666666666664
