wfName,nodeName,taskName,realtime
nfcore/eager:2.3.5,m5zn.large,damageprofiler,1669.6
nfcore/eager:2.3.5,m5zn.xlarge,damageprofiler,1931.2
nfcore/eager:2.3.5,m5zn.2xlarge,damageprofiler,1968.2
nfcore/eager:2.3.5,z1d.large,damageprofiler,2034.4
nfcore/eager:2.3.5,z1d.xlarge,damageprofiler,2076.3
nfcore/eager:2.3.5,c5a.xlarge,damageprofiler,2112.8
nfcore/eager:2.3.5,c5.xlarge,damageprofiler,2178.2
nfcore/eager:2.3.5,z1d.2xlarge,damageprofiler,2182.6
nfcore/eager:2.3.5,m5.large,damageprofiler,2237.4
nfcore/eager:2.3.5,c5.2xlarge,damageprofiler,2324.3
nfcore/eager:2.3.5,d3.xlarge,damageprofiler,2485.3
nfcore/eager:2.3.5,c5a.2xlarge,damageprofiler,2489.9
nfcore/eager:2.3.5,r5.xlarge,damageprofiler,2611.8
nfcore/eager:2.3.5,m5.xlarge,damageprofiler,2657.6
nfcore/eager:2.3.5,r5.large,damageprofiler,2665.1
nfcore/eager:2.3.5,m5.2xlarge,damageprofiler,2836.2
nfcore/eager:2.3.5,r5.2xlarge,damageprofiler,2855.9
nfcore/eager:2.3.5,d3.2xlarge,damageprofiler,2954.0
nfcore/eager:2.3.5,m5a.large,damageprofiler,3055.4
nfcore/eager:2.3.5,r5a.large,damageprofiler,3433.1
nfcore/eager:2.3.5,m5a.xlarge,damageprofiler,3587.3
nfcore/eager:2.3.5,r5a.xlarge,damageprofiler,3618.3
nfcore/eager:2.3.5,i3.large,damageprofiler,3856.3
nfcore/eager:2.3.5,m5a.2xlarge,damageprofiler,3864.8
nfcore/eager:2.3.5,i3.xlarge,damageprofiler,3922.3
nfcore/eager:2.3.5,i3.2xlarge,damageprofiler,3959.6
nfcore/eager:2.3.5,r5a.2xlarge,damageprofiler,4058.4
nfcore/eager:2.3.5,z1d.xlarge,fastqc,2836.4
nfcore/eager:2.3.5,m5zn.xlarge,fastqc,2915.0
nfcore/eager:2.3.5,m5zn.large,fastqc,2921.3
nfcore/eager:2.3.5,m5zn.2xlarge,fastqc,2953.0
nfcore/eager:2.3.5,c5a.xlarge,fastqc,3240.2
nfcore/eager:2.3.5,z1d.large,fastqc,3324.9
nfcore/eager:2.3.5,z1d.2xlarge,fastqc,3377.8
nfcore/eager:2.3.5,c5.xlarge,fastqc,3390.6
nfcore/eager:2.3.5,c5.2xlarge,fastqc,3549.0
nfcore/eager:2.3.5,d3.xlarge,fastqc,3684.8
nfcore/eager:2.3.5,r5.large,fastqc,3846.3
nfcore/eager:2.3.5,m5.large,fastqc,3878.7
nfcore/eager:2.3.5,c5a.2xlarge,fastqc,3907.9
nfcore/eager:2.3.5,m5.2xlarge,fastqc,4068.3
nfcore/eager:2.3.5,r5.xlarge,fastqc,4138.3
nfcore/eager:2.3.5,r5.2xlarge,fastqc,4260.1
nfcore/eager:2.3.5,m5.xlarge,fastqc,4390.8
nfcore/eager:2.3.5,d3.2xlarge,fastqc,4456.9
nfcore/eager:2.3.5,m5a.large,fastqc,4657.9
nfcore/eager:2.3.5,r5a.large,fastqc,4751.4
nfcore/eager:2.3.5,i3.large,fastqc,5099.1
nfcore/eager:2.3.5,r5a.xlarge,fastqc,5165.1
nfcore/eager:2.3.5,m5a.xlarge,fastqc,5253.4
nfcore/eager:2.3.5,r5a.2xlarge,fastqc,5308.9
nfcore/eager:2.3.5,m5a.2xlarge,fastqc,5324.0
nfcore/eager:2.3.5,i3.2xlarge,fastqc,5502.3
nfcore/eager:2.3.5,i3.xlarge,fastqc,5585.0
nfcore/eager:2.3.5,m5zn.xlarge,fastqc_after_clipping,2169.9
nfcore/eager:2.3.5,m5zn.large,fastqc_after_clipping,2175.0
nfcore/eager:2.3.5,m5zn.2xlarge,fastqc_after_clipping,2183.3
nfcore/eager:2.3.5,c5.xlarge,fastqc_after_clipping,2193.0
nfcore/eager:2.3.5,z1d.xlarge,fastqc_after_clipping,2194.7
nfcore/eager:2.3.5,z1d.2xlarge,fastqc_after_clipping,2197.9
nfcore/eager:2.3.5,c5a.xlarge,fastqc_after_clipping,2267.0
nfcore/eager:2.3.5,c5.2xlarge,fastqc_after_clipping,2292.1
nfcore/eager:2.3.5,z1d.large,fastqc_after_clipping,2373.3
nfcore/eager:2.3.5,c5a.2xlarge,fastqc_after_clipping,2382.3
nfcore/eager:2.3.5,r5.large,fastqc_after_clipping,3033.7
nfcore/eager:2.3.5,r5.2xlarge,fastqc_after_clipping,3057.1
nfcore/eager:2.3.5,d3.2xlarge,fastqc_after_clipping,3127.9
nfcore/eager:2.3.5,m5.2xlarge,fastqc_after_clipping,3135.2
nfcore/eager:2.3.5,d3.xlarge,fastqc_after_clipping,3137.0
nfcore/eager:2.3.5,m5.large,fastqc_after_clipping,3244.1
nfcore/eager:2.3.5,r5.xlarge,fastqc_after_clipping,3248.0
nfcore/eager:2.3.5,m5.xlarge,fastqc_after_clipping,3367.7
nfcore/eager:2.3.5,r5a.2xlarge,fastqc_after_clipping,3852.8
nfcore/eager:2.3.5,i3.2xlarge,fastqc_after_clipping,3864.5
nfcore/eager:2.3.5,m5a.xlarge,fastqc_after_clipping,3894.9
nfcore/eager:2.3.5,r5a.xlarge,fastqc_after_clipping,3898.1
nfcore/eager:2.3.5,r5a.large,fastqc_after_clipping,3979.4
nfcore/eager:2.3.5,m5a.large,fastqc_after_clipping,3985.7
nfcore/eager:2.3.5,m5a.2xlarge,fastqc_after_clipping,4040.9
nfcore/eager:2.3.5,i3.large,fastqc_after_clipping,4046.0
nfcore/eager:2.3.5,i3.xlarge,fastqc_after_clipping,4299.6
nfcore/eager:2.3.5,m5zn.large,get_software_versions,5902.6
nfcore/eager:2.3.5,z1d.large,get_software_versions,6483.6
nfcore/eager:2.3.5,c5a.xlarge,get_software_versions,6907.0
nfcore/eager:2.3.5,m5zn.xlarge,get_software_versions,7039.2
nfcore/eager:2.3.5,m5zn.2xlarge,get_software_versions,7080.2
nfcore/eager:2.3.5,z1d.xlarge,get_software_versions,7339.0
nfcore/eager:2.3.5,z1d.2xlarge,get_software_versions,7529.0
nfcore/eager:2.3.5,c5.xlarge,get_software_versions,7755.2
nfcore/eager:2.3.5,c5.2xlarge,get_software_versions,7871.6
nfcore/eager:2.3.5,c5a.2xlarge,get_software_versions,7990.8
nfcore/eager:2.3.5,m5.large,get_software_versions,8157.2
nfcore/eager:2.3.5,r5.large,get_software_versions,8276.0
nfcore/eager:2.3.5,d3.xlarge,get_software_versions,8678.2
nfcore/eager:2.3.5,m5.xlarge,get_software_versions,9161.4
nfcore/eager:2.3.5,r5.xlarge,get_software_versions,9207.8
nfcore/eager:2.3.5,d3.2xlarge,get_software_versions,9441.6
nfcore/eager:2.3.5,r5.2xlarge,get_software_versions,9468.0
nfcore/eager:2.3.5,m5.2xlarge,get_software_versions,9577.2
nfcore/eager:2.3.5,r5a.large,get_software_versions,9890.6
nfcore/eager:2.3.5,m5a.large,get_software_versions,9982.6
nfcore/eager:2.3.5,i3.large,get_software_versions,11230.0
nfcore/eager:2.3.5,m5a.xlarge,get_software_versions,11498.0
nfcore/eager:2.3.5,r5a.xlarge,get_software_versions,11537.2
nfcore/eager:2.3.5,m5a.2xlarge,get_software_versions,12217.8
nfcore/eager:2.3.5,i3.2xlarge,get_software_versions,12913.0
nfcore/eager:2.3.5,r5a.2xlarge,get_software_versions,13463.2
nfcore/eager:2.3.5,i3.xlarge,get_software_versions,13502.4
nfcore/eager:2.3.5,m5zn.2xlarge,makeSeqDict,1184.2
nfcore/eager:2.3.5,z1d.2xlarge,makeSeqDict,1308.0
nfcore/eager:2.3.5,m5zn.large,makeSeqDict,1337.8
nfcore/eager:2.3.5,z1d.xlarge,makeSeqDict,1456.4
nfcore/eager:2.3.5,c5.xlarge,makeSeqDict,1480.0
nfcore/eager:2.3.5,c5a.xlarge,makeSeqDict,1495.6
nfcore/eager:2.3.5,c5.2xlarge,makeSeqDict,1550.8
nfcore/eager:2.3.5,c5a.2xlarge,makeSeqDict,1551.8
nfcore/eager:2.3.5,m5zn.xlarge,makeSeqDict,1574.2
nfcore/eager:2.3.5,d3.2xlarge,makeSeqDict,1684.4
nfcore/eager:2.3.5,m5.2xlarge,makeSeqDict,1749.2
nfcore/eager:2.3.5,d3.xlarge,makeSeqDict,1755.2
nfcore/eager:2.3.5,z1d.large,makeSeqDict,1761.4
nfcore/eager:2.3.5,r5.2xlarge,makeSeqDict,1764.8
nfcore/eager:2.3.5,r5.xlarge,makeSeqDict,1785.4
nfcore/eager:2.3.5,m5.xlarge,makeSeqDict,1859.6
nfcore/eager:2.3.5,m5.large,makeSeqDict,1995.0
