nodeConfig,build-linux-kernel1,fio2,fio3,fio4,fio5,fio6,fio7,fio8,fio9,iperf10,iperf11,iperf12,iperf13,john-the-ripper14,john-the-ripper15,ramspeed16,ramspeed17,ramspeed18,ramspeed19,ramspeed20,ramspeed21,ramspeed22,ramspeed23,ramspeed24,ramspeed25,stream26,stream27,stream28,stream29,taskName,wfName,pCpu,cpus,rss,vmem,rchar,wchar,syscr,syscw,realtime,rank
176,4,4,1,6,1,2,2,2,2,13,17,1,15,3,3,12,13,12,13,13,14,12,13,11,12,6,3,6,6,ApplyBQSR,nfcore/sarek:2.7.1,169.39833246866863,2,322789307.73333333,8896484078.93333333,36045572.616666666667,712364.216666666667,18072.933333333333,236.5833333333333333,3135.2333333333333333,1
178,13,4,1,21,1,2,2,2,2,2,3,1,1,19,16,2,1,2,2,2,1,2,1,2,2,7,5,7,7,ApplyBQSR,nfcore/sarek:2.7.1,172.29666595458986,2,279873604.26666667,8904039628.8,36044938.033333333333,712347.683333333333,18072.6,236.5833333333333333,3184.9,2
179,3,25,1,4,1,2,2,2,2,4,4,1,1,9,8,1,2,1,1,1,2,1,2,1,1,8,4,8,8,ApplyBQSR,nfcore/sarek:2.7.1,173.39166793823242,2,300101973.33333333,8920520704,36045533.466666666667,712354.916666666667,18072.883333333333,236.5833333333333333,3262.1833333333333333,3
171,21,4,1,6,1,2,2,2,2,12,11,1,1,21,15,22,22,22,21,21,21,21,20,22,21,23,24,23,23,ApplyBQSR,nfcore/sarek:2.7.1,169.50333353678386,2,369762235.73333333,8937702058.66666667,36044703.283333333333,712349.933333333333,18072.466666666667,236.5833333333333333,3356.6666666666666667,4
173,1,18,1,21,1,2,2,2,2,14,27,1,1,1,1,9,10,9,10,9,9,8,11,7,9,4,1,4,4,ApplyBQSR,nfcore/sarek:2.7.1,166.20833307902018,2,328389017.6,8905090935.46666667,36045563.65,712354.183333333333,18072.916666666667,236.5833333333333333,3417.4166666666666667,5
175,14,4,1,6,1,2,2,2,2,24,25,1,23,13,10,10,12,11,11,12,12,11,9,10,11,15,12,15,15,ApplyBQSR,nfcore/sarek:2.7.1,168.33666610717773,2,352641911.46666667,8923279906.13333333,36045213.983333333333,712351.766666666667,18072.866666666667,236.5833333333333333,3444.4166666666666667,6
172,11,11,1,6,1,2,2,2,2,10,18,1,17,11,7,4,3,4,4,4,4,5,5,4,4,13,10,13,13,ApplyBQSR,nfcore/sarek:2.7.1,165.99333368937175,2,335128234.66666667,8906587818.66666667,36045122.266666666667,712354.1,18072.866666666667,236.5833333333333333,3456.1166666666666667,7
193,2,18,1,6,1,2,2,2,2,3,5,1,17,2,2,6,5,6,6,5,6,6,7,6,6,5,2,5,5,ApplyBQSR,nfcore/sarek:2.7.1,166.7750010172526,2,360806536.53333333,8942150246.4,36045415.716666666667,712351.116666666667,18072.85,236.5833333333333333,3772.75,8
192,12,18,1,6,1,2,2,2,2,26,19,1,1,12,9,7,9,8,9,10,10,9,8,8,7,14,11,14,14,ApplyBQSR,nfcore/sarek:2.7.1,167.70833409627278,2,366115771.73333333,8940075554.13333333,36044879.333333333333,712355.433333333333,18072.666666666667,236.5833333333333333,3818,9
191,22,11,1,21,1,2,2,2,2,16,23,1,21,22,17,23,23,23,23,23,23,23,22,23,23,24,25,24,24,ApplyBQSR,nfcore/sarek:2.7.1,172.42166646321616,2,359390617.6,8927819639.46666667,36044687.433333333333,712347.15,18072.483333333333,236.5833333333333333,3831.8333333333333333,10
