task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	3f/60a5fe	1092584	NFCORE_METHYLSEQ:METHYLSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet_full.csv)	COMPLETED	0	2023-06-07 10:25:56.928	1.7s	0ms	53.8%	8.8 MB	31.2 MB	905.3 KB	2.4 KB
14	5c/15681d	1094708	NFCORE_METHYLSEQ:METHYLSEQ:FASTQC (SRR7961164_GSM3415728_MShef4_J3)	COMPLETED	0	2023-06-07 10:33:19.845	2m 4s	2m 3s	201.8%	1.1 GB	4.3 GB	2.4 GB	4 MB
12	68/673675	1107695	NFCORE_METHYLSEQ:METHYLSEQ:FASTQC (SRR7961163_GSM3415727_MShef4_J2)	COMPLETED	0	2023-06-07 10:35:24.347	1m 34s	1m 33s	202.5%	1.1 GB	4.3 GB	1.8 GB	4 MB
6	6a/ff289b	1115003	NFCORE_METHYLSEQ:METHYLSEQ:FASTQC (SRR7961104_GSM3415668_MShef11_low_oxygen_Q3)	COMPLETED	0	2023-06-07 10:36:58.488	2m 48s	2m 47s	199.6%	1 GB	4.3 GB	3.4 GB	4 MB
15	f8/c1edde	1094712	NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961164_GSM3415728_MShef4_J3)	COMPLETED	0	2023-06-07 10:33:19.850	8m 43s	8m 42s	685.0%	4.6 GB	5.9 GB	72.9 GB	70.4 GB
10	27/9164a2	1123627	NFCORE_METHYLSEQ:METHYLSEQ:FASTQC (SRR7961161_GSM3415725_MShef4_J1)	COMPLETED	0	2023-06-07 10:39:46.637	3m 41s	3m 40s	199.7%	1.1 GB	4.3 GB	4.4 GB	4 MB
13	38/bdf80e	1129913	NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961163_GSM3415727_MShef4_J2)	COMPLETED	0	2023-06-07 10:42:02.833	6m 35s	6m 34s	666.3%	4.2 GB	5.5 GB	54.4 GB	52.6 GB
7	9a/eb5b2e	1154730	NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961104_GSM3415668_MShef11_low_oxygen_Q3)	COMPLETED	0	2023-06-07 10:48:37.891	12m 19s	12m 18s	688.4%	4.6 GB	6 GB	104.1 GB	100.6 GB
9	f2/96e8c2	1143632	NFCORE_METHYLSEQ:METHYLSEQ:FASTQC (SRR7961150_GSM3415714_MShef4_bulk)	COMPLETED	0	2023-06-07 10:44:41.830	17m 46s	17m 44s	198.9%	1 GB	4.2 GB	20.8 GB	4 MB
4	0b/3179e4	1201815	NFCORE_METHYLSEQ:METHYLSEQ:FASTQC (SRR7961103_GSM3415667_MShef11_low_oxygen_Q2)	COMPLETED	0	2023-06-07 11:02:27.558	1m 4s	1m 3s	203.3%	1.1 GB	4.3 GB	1.3 GB	4 MB
