task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	39/5853aa	228202	NFCORE_METHYLSEQ:METHYLSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet_full.csv)	COMPLETED	0	2023-05-19 12:23:09.208	1.7s	0ms	44.1%	8.8 MB	31.2 MB	904.8 KB	2.4 KB
4	83/5b2daf	229359	NFCORE_METHYLSEQ:METHYLSEQ:FASTQC (SRR7961103_GSM3415667_MShef11_low_oxygen_Q2)	COMPLETED	0	2023-05-19 12:26:22.277	1m 8s	1m 6s	203.4%	1 GB	4.3 GB	1.3 GB	4 MB
5	4c/03c628	229367	NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961103_GSM3415667_MShef11_low_oxygen_Q2)	COMPLETED	0	2023-05-19 12:26:22.283	4m 40s	4m 39s	660.2%	3.1 GB	4.4 GB	38.5 GB	37.2 GB
13	e4/4fc365	244004	NFCORE_METHYLSEQ:METHYLSEQ:FASTQC (SRR7961164_GSM3415728_MShef4_J3)	COMPLETED	0	2023-05-19 12:29:52.308	1m 59s	1m 56s	203.0%	1.1 GB	4.3 GB	2.4 GB	4 MB
10	d2/869946	253599	NFCORE_METHYLSEQ:METHYLSEQ:FASTQC (SRR7961161_GSM3415725_MShef4_J1)	COMPLETED	0	2023-05-19 12:31:51.130	3m 49s	3m 47s	199.8%	1.1 GB	4.3 GB	4.4 GB	4 MB
15	3f/01483e	247594	NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961164_GSM3415728_MShef4_J3)	COMPLETED	0	2023-05-19 12:31:02.106	8m 38s	8m 37s	685.1%	4.6 GB	5.9 GB	72.9 GB	70.4 GB
8	d8/00df96	281490	NFCORE_METHYLSEQ:METHYLSEQ:FASTQC (SRR7961150_GSM3415714_MShef4_bulk)	COMPLETED	0	2023-05-19 12:40:58.829	16m 53s	16m 48s	197.3%	1 GB	4.3 GB	20.8 GB	4 MB
12	f8/231db9	376072	NFCORE_METHYLSEQ:METHYLSEQ:FASTQC (SRR7961163_GSM3415727_MShef4_J2)	COMPLETED	0	2023-05-19 12:57:52.245	1m 26s	1m 25s	202.4%	1 GB	4.3 GB	1.8 GB	4 MB
3	9e/02d380	380295	NFCORE_METHYLSEQ:METHYLSEQ:FASTQC (SRR7961102_GSM3415666_MShef11_low_oxygen_Q1)	COMPLETED	0	2023-05-19 12:59:18.375	1m 9s	1m 8s	203.7%	1.1 GB	4.3 GB	1.4 GB	4 MB
6	0c/7db153	383523	NFCORE_METHYLSEQ:METHYLSEQ:FASTQC (SRR7961104_GSM3415668_MShef11_low_oxygen_Q3)	COMPLETED	0	2023-05-19 13:00:27.526	2m 42s	2m 41s	197.7%	1.1 GB	4.3 GB	3.4 GB	4 MB
16	26/31f52a	277921	NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_ALIGN (SRR7961103_GSM3415667_MShef11_low_oxygen_Q2)	COMPLETED	0	2023-05-19 12:39:39.807	36m 7s	36m 6s	911.1%	38.5 GB	40.1 GB	120.6 GB	77.8 GB
18	af/a625f9	408934	NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:SAMTOOLS_SORT_ALIGNED (SRR7961103_GSM3415667_MShef11_low_oxygen_Q2)	COMPLETED	0	2023-05-19 13:15:46.950	41.5s	41s	535.0%	4.9 GB	6 GB	3.1 GB	3 GB
20	5c/1cd1cb	415135	NFCORE_METHYLSEQ:METHYLSEQ:PRESEQ_LCEXTRAP (SRR7961103_GSM3415667_MShef11_low_oxygen_Q2)	COMPLETED	0	2023-05-19 13:16:29.430	1m 48s	1m 48s	97.9%	9.6 MB	15.6 MB	1.8 GB	483.3 KB
11	90/c005da	408930	NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961161_GSM3415725_MShef4_J1)	COMPLETED	0	2023-05-19 13:15:46.946	15m 31s	15m 30s	675.3%	5.5 GB	6.8 GB	137.6 GB	133 GB
17	fa/f5e5ab	450590	NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_ALIGN (SRR7961164_GSM3415728_MShef4_J3)	COMPLETED	0	2023-05-19 13:31:17.951	1h 4m 2s	1h 4m 1s	921.8%	38.5 GB	40.1 GB	202.9 GB	147 GB
22	52/cd00b1	608674	NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:SAMTOOLS_SORT_ALIGNED (SRR7961164_GSM3415728_MShef4_J3)	COMPLETED	0	2023-05-19 14:35:20.036	1m 28s	1m 27s	524.3%	4.9 GB	6 GB	7.3 GB	6.8 GB
24	e5/e5ae7b	618805	NFCORE_METHYLSEQ:METHYLSEQ:PRESEQ_LCEXTRAP (SRR7961164_GSM3415728_MShef4_J3)	FAILED	1	2023-05-19 14:36:49.217	3m 22s	3m 22s	-	-	-	-	-
