task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	15/dacd24	3845082	NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet_test.csv)	COMPLETED	0	2023-06-15 21:09:52.788	1.8s	0ms	66.1%	8.3 MB	30.8 MB	668.8 KB	1.9 KB
2	14/a8e51b	3845386	NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa)	COMPLETED	0	2023-06-15 21:09:53.467	1.1s	0ms	67.9%	4.7 MB	11.8 MB	11.9 MB	5.4 KB
5	97/201617	3845295	NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED (genes.gtf)	COMPLETED	0	2023-06-15 21:09:53.233	2s	0ms	96.9%	6.9 MB	27.2 MB	11.7 MB	392.5 KB
6	03/d28bd4	3846161	NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS (genome.fa.sizes)	COMPLETED	0	2023-06-15 21:09:54.609	1.8s	0ms	104.3%	2.8 MB	11 MB	47.3 KB	622 B
3	16/70d9e0	3845399	NFCORE_CHIPSEQ:CHIPSEQ:KHMER_UNIQUEKMERS (genome.fa)	COMPLETED	0	2023-06-15 21:09:53.476	3.2s	2s	183.1%	49.6 MB	1009.4 MB	16.1 MB	3.4 KB
7	b4/981865	3846600	NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (SPT5_INPUT_REP1_T1)	COMPLETED	0	2023-06-15 21:09:55.895	8.6s	7s	174.9%	237.1 MB	3.3 GB	28.7 MB	3.2 MB
10	66/c85b52	3847141	NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (SPT5_INPUT_REP2_T1)	COMPLETED	0	2023-06-15 21:09:56.722	8.5s	6s	170.6%	254.5 MB	3.3 GB	28.7 MB	3.2 MB
4	19/67e9b9	3845393	NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:BWA_INDEX (genome.fa)	COMPLETED	0	2023-06-15 21:09:53.473	11.8s	9s	99.3%	126.6 MB	144.5 MB	46.8 MB	31.9 MB
11	9c/51de5f	3847575	NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (SPT5_T0_REP1_T1)	COMPLETED	0	2023-06-15 21:09:57.498	8.4s	7s	185.3%	318.3 MB	3.3 GB	31 MB	4 MB
15	56/7aa724	3849202	NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (SPT5_T15_REP1_T1)	COMPLETED	0	2023-06-15 21:09:59.263	7.4s	6s	191.4%	274.3 MB	3.3 GB	31.3 MB	4 MB
13	56/7ad975	3848386	NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (SPT5_T0_REP2_T1)	COMPLETED	0	2023-06-15 21:09:58.367	9.4s	8s	169.0%	379.7 MB	3.3 GB	31 MB	4 MB
18	08/05b9ae	3850048	NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (SPT5_T15_REP2_T1)	COMPLETED	0	2023-06-15 21:10:00.025	9.5s	8s	188.4%	313.6 MB	3.3 GB	31.3 MB	4 MB
8	8e/cf59ca	3846623	NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (SPT5_INPUT_REP1_T1)	COMPLETED	0	2023-06-15 21:09:55.919	14.8s	14s	154.9%	152.7 MB	3 GB	224.4 MB	177.6 MB
9	86/d398d6	3847138	NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (SPT5_INPUT_REP2_T1)	COMPLETED	0	2023-06-15 21:09:56.717	14.6s	13s	157.1%	172.6 MB	3 GB	224.3 MB	177.5 MB
12	86/3d0964	3847585	NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (SPT5_T0_REP1_T1)	COMPLETED	0	2023-06-15 21:09:57.506	16.5s	15s	163.8%	190.3 MB	3 GB	247.7 MB	198.2 MB
14	c7/24878c	3848392	NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (SPT5_T0_REP2_T1)	COMPLETED	0	2023-06-15 21:09:58.371	17.5s	17s	151.2%	211.2 MB	3 GB	249.5 MB	199.9 MB
16	dc/6400ba	3849208	NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (SPT5_T15_REP1_T1)	COMPLETED	0	2023-06-15 21:09:59.271	17.1s	16s	160.2%	189.4 MB	3 GB	254.6 MB	204.8 MB
17	91/be5d4d	3850069	NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (SPT5_T15_REP2_T1)	COMPLETED	0	2023-06-15 21:10:00.031	16.4s	16s	165.4%	198.6 MB	3 GB	250.4 MB	200.6 MB
19	de/e685e6	3861221	NFCORE_CHIPSEQ:CHIPSEQ:ALIGN_BWA_MEM:BWA_MEM (SPT5_INPUT_REP1_T1)	COMPLETED	0	2023-06-15 21:10:10.809	5.8s	4s	185.7%	151.3 MB	427.3 MB	81.3 MB	64.7 MB
