task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	ad/623c03	3968928	NFCORE_CHIPSEQ:CHIPSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet_full.csv)	COMPLETED	0	2023-06-15 21:16:06.880	1.6s	0ms	98.0%	10.5 MB	32.3 MB	668.7 KB	1.8 KB
3	58/8b12e7	3969223	NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GTF2BED (genes.gtf)	COMPLETED	0	2023-06-15 21:16:16.827	7.9s	6s	100.2%	960 MB	979.9 MB	135.7 MB	7.7 MB
1	a3/6911a9	3970254	NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (genome.fa)	COMPLETED	0	2023-06-15 21:18:12.070	11.6s	11s	100.2%	4.6 MB	11.8 MB	2.9 GB	5.9 KB
36	9c/f4004e	3971101	NFCORE_CHIPSEQ:CHIPSEQ:PREPARE_GENOME:GENOME_BLACKLIST_REGIONS (genome.fa.sizes)	COMPLETED	0	2023-06-15 21:18:23.708	1.7s	0ms	112.9%	2.7 MB	11 MB	103.8 KB	28.4 KB
22	8c/167c17	3972712	NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (INPUT_E2_REP2_T1)	COMPLETED	0	2023-06-15 21:23:18.041	1m 32s	1m 30s	103.7%	989.9 MB	4.2 GB	1.2 GB	1.8 MB
14	97/20c28c	3981324	NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_IP_E2_REP2_T1)	COMPLETED	0	2023-06-15 21:24:50.246	58.1s	57s	107.2%	1.1 GB	4.3 GB	849.5 MB	1.9 MB
23	77/efba0b	3972745	NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (INPUT_E2_REP2_T1)	COMPLETED	0	2023-06-15 21:23:18.068	3m 29s	3m 28s	388.7%	2.7 GB	3.4 GB	20 GB	18.8 GB
12	20/701dd8	3984462	NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_IP_E2_REP1_T1)	COMPLETED	0	2023-06-15 21:25:48.360	1m 37s	1m 36s	104.2%	992.2 MB	4.2 GB	1.3 GB	1.8 MB
16	f1/455721	3991531	NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (FOXA1_IP_VEH_REP1_T1)	COMPLETED	0	2023-06-15 21:27:25.473	1m 34s	1m 33s	105.0%	993.1 MB	4.2 GB	1.3 GB	1.8 MB
15	d9/bd4d53	3986984	NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP2_T1)	COMPLETED	0	2023-06-15 21:26:46.843	2m 15s	2m 14s	392.5%	2.4 GB	3.2 GB	12.3 GB	11.5 GB
13	a8/f323b1	3996407	NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_E2_REP1_T1)	COMPLETED	0	2023-06-15 21:29:01.983	3m 48s	3m 47s	395.3%	2.8 GB	3.6 GB	21.5 GB	20.2 GB
17	8d/385a2a	4007227	NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (FOXA1_IP_VEH_REP1_T1)	COMPLETED	0	2023-06-15 21:32:49.625	3m 35s	3m 35s	400.0%	2.7 GB	3.4 GB	20.5 GB	19.2 GB
8	a1/472c8e	4018004	NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (EZH2_IP_TKO_REP1_T1)	COMPLETED	0	2023-06-15 21:38:00.601	10m 3s	10m 2s	101.0%	987.1 MB	4.2 GB	8.1 GB	1.8 MB
10	ba/f8f1f4	4058857	NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (EZH2_IP_TKO_REP2_T1)	COMPLETED	0	2023-06-15 21:48:03.898	11m 47s	11m 45s	100.9%	990.7 MB	4.2 GB	10 GB	1.8 MB
9	98/91eb15	4018017	NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (EZH2_IP_TKO_REP1_T1)	COMPLETED	0	2023-06-15 21:38:00.611	23m 31s	23m 30s	411.2%	3.1 GB	3.8 GB	136 GB	127.8 GB
4	4d/e5433a	4071807	NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (EZH2_IP_NTKO_REP1_T1)	COMPLETED	0	2023-06-15 21:59:51.139	11m 26s	11m 24s	100.9%	988.3 MB	4.2 GB	9.5 GB	1.8 MB
