task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	ed/e204cb	2735416	NFCORE_METHYLSEQ:METHYLSEQ:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet_test.csv)	COMPLETED	0	2023-06-14 10:48:58.600	2s	0ms	71.6%	12.1 MB	34.3 MB	902.5 KB	1023 B
1	a4/0e5858	2735407	NFCORE_METHYLSEQ:METHYLSEQ:PREPARE_GENOME:BISMARK_GENOMEPREPARATION (BismarkIndex/genome.fa)	COMPLETED	0	2023-06-14 10:48:58.589	6.3s	5s	9.8%	13.8 MB	29.4 MB	3.5 MB	16.2 MB
5	b5/106e3b	2737038	NFCORE_METHYLSEQ:METHYLSEQ:CAT_FASTQ (SRR389222_sub2)	COMPLETED	0	2023-06-14 10:49:06.712	683ms	17ms	115.7%	2.8 MB	3.9 MB	6.4 MB	6.3 MB
6	d3/4a34b1	2736491	NFCORE_METHYLSEQ:METHYLSEQ:FASTQC (Ecoli_10K_methylated)	COMPLETED	0	2023-06-14 10:49:06.099	5.2s	3s	170.4%	180.5 MB	3.3 GB	21.4 MB	3 MB
3	d3/1774d9	2736544	NFCORE_METHYLSEQ:METHYLSEQ:FASTQC (SRR389222_sub1)	COMPLETED	0	2023-06-14 10:49:06.170	5.6s	4s	170.2%	165.8 MB	3.2 GB	23 MB	2 MB
4	7a/f8e099	2736538	NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR389222_sub1)	COMPLETED	0	2023-06-14 10:49:06.164	5.7s	5s	168.4%	200.4 MB	3 GB	89.3 MB	62.8 MB
7	65/b892c0	2736636	NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (Ecoli_10K_methylated)	COMPLETED	0	2023-06-14 10:49:06.221	6.7s	6s	159.9%	105.7 MB	3 GB	63.2 MB	26.8 MB
9	9e/1f58a0	2737497	NFCORE_METHYLSEQ:METHYLSEQ:FASTQC (SRR389222_sub2)	COMPLETED	0	2023-06-14 10:49:07.414	6.2s	5s	144.5%	200.7 MB	3.2 GB	26.2 MB	2 MB
8	5e/b6af5b	2737500	NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR389222_sub2)	COMPLETED	0	2023-06-14 10:49:07.420	6.7s	6s	167.9%	206.2 MB	3 GB	156.2 MB	123.4 MB
11	00/b9e2e8	2740565	NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_ALIGN (Ecoli_10K_methylated)	COMPLETED	0	2023-06-14 10:49:12.979	6.5s	6s	20.8%	69.5 MB	496.8 MB	51.4 MB	25.3 MB
14	0a/9a5c3e	2742666	NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:SAMTOOLS_SORT_ALIGNED (Ecoli_10K_methylated)	COMPLETED	0	2023-06-14 10:49:19.502	972ms	0ms	92.1%	3.1 MB	5.4 MB	111.7 KB	6.4 KB
13	c1/7ce8d5	2742663	NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:BISMARK_DEDUPLICATE (Ecoli_10K_methylated)	COMPLETED	0	2023-06-14 10:49:19.497	1.1s	0ms	106.7%	10.6 MB	17.4 MB	1.1 MB	27.3 KB
