task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
5	c7/45f8a0	2332745	NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_KNOWN_INDELS (mills_and_1000G.indels.vcf)	COMPLETED	0	2023-06-15 14:31:20.684	1.3s	0ms	72.7%	3.1 MB	5.4 MB	82.1 KB	3.1 KB
4	f8/d84e6a	2332825	NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_DBSNP (dbsnp_146.hg38.vcf)	COMPLETED	0	2023-06-15 14:31:20.703	1.3s	0ms	110.3%	3 MB	5.4 MB	130.8 KB	3.1 KB
7	9f/c942a7	2332788	NFCORE_SAREK:SAREK:PREPARE_GENOME:SAMTOOLS_FAIDX (genome.fasta)	COMPLETED	0	2023-06-15 14:31:20.697	1.7s	1s	48.3%	3.2 MB	5.4 MB	148.2 KB	4.8 KB
10	ed/b35e6f	2332757	NFCORE_SAREK:SAREK:PREPARE_GENOME:BWAMEM1_INDEX (genome.fasta)	COMPLETED	0	2023-06-15 14:31:20.689	2.2s	0ms	67.2%	5.2 MB	23.1 MB	219.5 KB	110.5 KB
2	92/120446	2332736	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (genome.interval_list)	COMPLETED	0	2023-06-15 14:31:20.674	2.3s	0ms	95.5%	0	0	52.2 KB	1.1 KB
16	8c/113ae0	2334498	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr22_1-40001)	COMPLETED	0	2023-06-15 14:31:23.008	794ms	0ms	105.5%	3.2 MB	5.4 MB	87.2 KB	3.2 KB
1	76/4514f5	2332764	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:GATK4_INTERVALLISTTOBED (genome)	COMPLETED	0	2023-06-15 14:31:20.693	6.5s	5s	178.6%	248.4 MB	8.9 GB	100.9 MB	681 KB
3	76/37700b	2332800	NFCORE_SAREK:SAREK:PREPARE_GENOME:GATK4_CREATESEQUENCEDICTIONARY (genome.fasta)	COMPLETED	0	2023-06-15 14:31:20.700	6.6s	5s	174.4%	249.9 MB	8.9 GB	100.8 MB	681.2 KB
12	22/fec2be	2333499	NFCORE_SAREK:SAREK:FASTQC (test-test_L1)	COMPLETED	0	2023-06-15 14:31:21.402	10.9s	9s	185.1%	481.5 MB	3.3 GB	52.2 MB	3.4 MB
13	ee/ebe10e	2334551	NFCORE_SAREK:SAREK:FASTQ_ALIGN_BWAMEM_MEM2_DRAGMAP:BWAMEM1_MEM (test)	COMPLETED	0	2023-06-15 14:31:23.029	16.2s	14s	188.2%	182.4 MB	514.9 MB	174.2 MB	175.6 MB
18	57/e2a6d3	2337753	NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:GATK4_MARKDUPLICATES (test)	COMPLETED	0	2023-06-15 14:31:39.305	12.2s	12s	153.8%	2.2 GB	8.9 GB	202.2 MB	66.4 MB
19	f4/28c2ef	2339076	NFCORE_SAREK:SAREK:BAM_MARKDUPLICATES:INDEX_MARKDUPLICATES (test)	COMPLETED	0	2023-06-15 14:31:51.532	674ms	0ms	44.3%	3.1 MB	5.4 MB	22 MB	5.3 KB
