task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
5	ea/d7a8cf	2345978	NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_ALLELES (G1000_alleles_hg38.zip)	COMPLETED	0	2023-06-15 14:33:20.174	2.6s	1s	78.8%	9.5 MB	40.4 MB	9.8 MB	30 MB
6	8e/1a4c24	2345987	NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_LOCI (G1000_loci_hg38.zip)	COMPLETED	0	2023-06-15 14:33:20.178	2.7s	1s	77.4%	9.2 MB	40.4 MB	8.3 MB	33.1 MB
2	ae/2e9adc	2346009	NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_GC (GC_G1000_hg38.zip)	COMPLETED	0	2023-06-15 14:33:20.182	5.2s	3s	93.1%	9.3 MB	40.4 MB	100 MB	345.6 MB
4	a6/f5f03b	2345968	NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_RT (RT_G1000_hg38.zip)	COMPLETED	0	2023-06-15 14:33:20.170	5.3s	4s	93.0%	9.3 MB	40.4 MB	101.6 MB	387.4 MB
1	3d/8f2cac	2347887	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (S07604624_Padded_Agilent_SureSelectXT_allexons_V6_UTR.bed)	COMPLETED	0	2023-06-15 14:33:27.178	2.3s	1s	88.4%	3.7 MB	20.8 MB	61.1 MB	61.1 MB
17	3f/037f90	2347873	NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_ANTITARGET (sarek)	COMPLETED	0	2023-06-15 14:33:27.166	6.9s	5s	100.0%	348.1 MB	4.5 GB	106.3 MB	1.4 MB
25	8f/78fbdc	2350278	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr17_38877931-38878296)	COMPLETED	0	2023-06-15 14:33:37.500	1.4s	0ms	76.0%	5.6 MB	11.6 MB	12.9 MB	1.1 MB
24	b7/c16a4b	2350292	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr1_11981-12351)	COMPLETED	0	2023-06-15 14:33:37.509	1.5s	0ms	86.8%	5.8 MB	11.6 MB	26.6 MB	2.1 MB
23	f4/d2cdd5	2350284	NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr7_103100352-103101145)	COMPLETED	0	2023-06-15 14:33:37.505	1.6s	0ms	83.0%	5.8 MB	11.6 MB	26.5 MB	2.1 MB
22	3a/30a872	2349444	NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_REFERENCE (Homo_sapiens_assembly38.fasta)	COMPLETED	0	2023-06-15 14:33:34.372	1m 11s	1m 9s	98.5%	362 MB	4.5 GB	5.9 GB	68 MB
13	ca/1da735	2345959	NFCORE_SAREK:SAREK:PREPARE_GENOME:TABIX_DBSNP (dbsnp_146.hg38.vcf)	COMPLETED	0	2023-06-15 14:33:20.160	1m 35s	1m 34s	97.8%	19.6 MB	26.4 MB	3.2 GB	2.3 MB
18	81/f5695e	2355996	NFCORE_SAREK:SAREK:FASTP (HCC1395N-1)	COMPLETED	0	2023-06-15 14:45:57.572	3m 47s	3m 46s	1106.6%	1.9 GB	2.9 GB	12.5 GB	12.3 GB
