task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	a2/85e92e	1410173	NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet_test_amplicon_illumina.csv)	COMPLETED	0	2023-06-16 15:19:51.755	1.2s	0ms	48.6%	10.2 MB	15.2 MB	691.7 KB	1.1 KB
9	97/280b38	1410182	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS (nCoV-2019.primer.bed)	COMPLETED	0	2023-06-16 15:19:51.766	1.6s	0ms	120.8%	12.7 MB	17.9 MB	684.5 KB	4.1 KB
7	8a/0bf68e	1410270	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (nCoV-2019.reference.fasta)	COMPLETED	0	2023-06-16 15:19:51.805	1.6s	0ms	45.8%	3.2 MB	5.4 MB	142.4 KB	4.9 KB
2	04/733952	1410255	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD (nCoV-2019.reference.fasta)	COMPLETED	0	2023-06-16 15:19:51.801	1.8s	0ms	99.0%	9.2 MB	14.7 MB	1.8 MB	8.3 MB
1	b3/eaef3c	1410404	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GUNZIP_GFF (GCA_009858895.3_ASM985889v3_genomic.200409.gff.gz)	COMPLETED	0	2023-06-16 15:19:51.925	1.8s	13ms	103.2%	0	0	97.8 KB	5 KB
4	a2/070c40	1410243	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BLAST_MAKEBLASTDB (nCoV-2019.reference.fasta)	COMPLETED	0	2023-06-16 15:19:51.796	2.4s	0ms	69.3%	5 MB	37.9 MB	231.1 KB	57.4 KB
8	cb/a38cff	1410231	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BEDTOOLS_GETFASTA (nCoV-2019.primer.bed)	COMPLETED	0	2023-06-16 15:19:51.792	2.5s	0ms	81.0%	2.7 MB	11 MB	92.1 KB	9.6 KB
6	9e/4b07e6	1410756	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_NEXTCLADE_DB (nextclade_sars-cov-2_MN908947_2022-06-14T12_00_00Z.tar.gz)	COMPLETED	0	2023-06-16 15:19:52.301	2.1s	283ms	57.7%	6.8 MB	11.7 MB	19.7 MB	26.2 MB
5	44/fdca8f	1411547	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB (kraken2_hs22.tar.gz)	COMPLETED	0	2023-06-16 15:19:53.306	2.4s	1.3s	81.6%	9.9 MB	23.2 MB	183.8 MB	157.7 MB
10	ee/4a977f	1412168	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:SNPEFF_BUILD (nCoV-2019.reference.fasta)	COMPLETED	0	2023-06-16 15:19:53.858	3.1s	2s	61.7%	64.7 MB	8.9 GB	17.9 MB	16.8 KB
12	a9/a0f388	1412926	NFCORE_VIRALRECON:ILLUMINA:CAT_FASTQ (SAMPLE3_SE)	COMPLETED	0	2023-06-16 15:19:56.009	1.3s	15ms	129.7%	2.9 MB	3.9 MB	5.6 MB	5.5 MB
14	45/5269ab	1412941	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTP (SAMPLE2_PE)	COMPLETED	0	2023-06-16 15:19:56.020	5.2s	3s	114.2%	965 MB	1.1 GB	17.8 MB	4.7 MB
11	d9/f72dda	1412857	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTP (SAMPLE1_PE)	COMPLETED	0	2023-06-16 15:19:55.967	6.1s	5s	114.7%	1.1 GB	1.4 GB	24.5 MB	6 MB
17	2c/fc8c0c	1413894	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTP (SAMPLE3_SE)	COMPLETED	0	2023-06-16 15:19:57.367	5.3s	5s	111.1%	1.1 GB	1.4 GB	19.1 MB	5.2 MB
16	c9/5c5aca	1413891	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_RAW (SAMPLE3_SE)	COMPLETED	0	2023-06-16 15:19:57.362	6.4s	5s	160.0%	281.8 MB	3.2 GB	25.6 MB	2.3 MB
19	0e/3709f3	1415478	NFCORE_VIRALRECON:ILLUMINA:KRAKEN2_KRAKEN2 (SAMPLE2_PE)	COMPLETED	0	2023-06-16 15:20:01.265	2.6s	2s	168.5%	8.3 MB	290.2 MB	101.3 MB	29.3 MB
15	9e/41754c	1412932	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_RAW (SAMPLE2_PE)	COMPLETED	0	2023-06-16 15:19:56.015	8.9s	6s	190.1%	322 MB	3.3 GB	26.6 MB	4.7 MB
23	1f/01f47c	1416290	NFCORE_VIRALRECON:ILLUMINA:KRAKEN2_KRAKEN2 (SAMPLE1_PE)	COMPLETED	0	2023-06-16 15:20:02.151	3.4s	3s	176.7%	9.8 MB	290.2 MB	113.7 MB	37.1 MB
26	1c/b6e4fc	1416837	NFCORE_VIRALRECON:ILLUMINA:KRAKEN2_KRAKEN2 (SAMPLE3_SE)	COMPLETED	0	2023-06-16 15:20:02.730	3.3s	2s	177.5%	13.5 MB	290.2 MB	111.8 MB	36.7 MB
13	7b/6b1238	1412865	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_RAW (SAMPLE1_PE)	COMPLETED	0	2023-06-16 15:19:55.972	11.5s	10s	179.9%	399.2 MB	3.3 GB	28.5 MB	4.7 MB
24	9c/11e526	1416750	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_TRIM (SAMPLE3_SE)	COMPLETED	0	2023-06-16 15:20:02.706	6.8s	5s	163.6%	260.8 MB	3.2 GB	25 MB	2.2 MB
18	c6/dc52a6	1415427	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_TRIM (SAMPLE2_PE)	COMPLETED	0	2023-06-16 15:20:01.241	9.2s	8s	174.9%	325.9 MB	3.3 GB	25.5 MB	4.5 MB
21	5e/509d52	1416256	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_TRIM (SAMPLE1_PE)	COMPLETED	0	2023-06-16 15:20:02.123	9.5s	8s	175.5%	358.1 MB	3.3 GB	26.7 MB	4.5 MB
