task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
7	7c/2a320a	1539064	NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet_full_amplicon_illumina.csv)	COMPLETED	0	2023-06-16 15:23:31.046	1.4s	0ms	81.8%	12.2 MB	17.3 MB	702.3 KB	11.9 KB
6	52/9eb5e4	1539105	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GUNZIP_GFF (GCA_009858895.3_ASM985889v3_genomic.200409.gff.gz)	COMPLETED	0	2023-06-16 15:23:31.119	1.4s	11ms	101.6%	0	0	97.8 KB	5 KB
1	74/9fe61e	1539201	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS (nCoV-2019.primer.bed)	COMPLETED	0	2023-06-16 15:23:31.158	1.5s	0ms	109.7%	12.4 MB	17.5 MB	685.6 KB	4.1 KB
4	a7/b6354c	1539227	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (nCoV-2019.reference.fasta)	COMPLETED	0	2023-06-16 15:23:31.167	1.7s	0ms	76.2%	3.1 MB	5.4 MB	142.4 KB	4.9 KB
9	2d/553353	1539239	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BLAST_MAKEBLASTDB (nCoV-2019.reference.fasta)	COMPLETED	0	2023-06-16 15:23:31.172	1.8s	0ms	102.9%	15.2 MB	48.8 MB	231 KB	57.4 KB
8	3c/6cae08	1540924	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD (nCoV-2019.reference.fasta)	COMPLETED	0	2023-06-16 15:23:32.931	1.3s	0ms	210.7%	11.6 MB	16.6 MB	1.8 MB	8.4 MB
2	33/5a5bc7	1540413	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_NEXTCLADE_DB (nextclade_sars-cov-2_MN908947_2022-06-14T12_00_00Z.tar.gz)	COMPLETED	0	2023-06-16 15:23:32.185	2.1s	306ms	47.9%	6.9 MB	11.7 MB	19.7 MB	26.2 MB
3	61/43d93d	1539259	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BEDTOOLS_GETFASTA (nCoV-2019.primer.bed)	COMPLETED	0	2023-06-16 15:23:31.177	3.2s	0ms	129.7%	2.7 MB	11 MB	93.1 KB	10.7 KB
10	90/02f7db	1540701	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:SNPEFF_BUILD (nCoV-2019.reference.fasta)	COMPLETED	0	2023-06-16 15:23:32.716	2.7s	2s	65.6%	67 MB	15.1 GB	17.9 MB	16.8 KB
15	02/d13790	1543704	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTP (SAMPLE_03)	COMPLETED	0	2023-06-16 15:23:49.359	8.7s	8s	417.9%	1.8 GB	2.5 GB	182.2 MB	80.4 MB
16	c1/89cad5	1543698	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_RAW (SAMPLE_03)	COMPLETED	0	2023-06-16 15:23:49.353	12.4s	11s	233.5%	1.1 GB	4.3 GB	155.4 MB	4 MB
38	5c/94be53	1545363	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTP (SAMPLE_16)	COMPLETED	0	2023-06-16 15:23:58.039	9s	8s	425.0%	1.8 GB	2.4 GB	187.1 MB	88 MB
45	24/299286	1544931	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_RAW (SAMPLE_16)	COMPLETED	0	2023-06-16 15:23:56.560	13.2s	12s	228.6%	1.1 GB	4.4 GB	160.3 MB	4 MB
